"ArtikelNr","Fb","Größe","GTIN/EAN","quantity"
"354539409","001","43","4069188239653","0"
"354539409","001","42","4069188239646","0"
"354539409","001","41","4069188239639","0"
"354539409","001","40","4069188239622","0"
"354539409","000","50","4069188239554","0"
"354539409","000","49","4069188239547","1"
"354539409","000","48","4069188239530","2"
"354539409","000","47","4069188239523","0"
"354539409","000","46","4069188239516","1"
"354539409","000","45","4069188239509","0"
"354539409","000","44","4069188239493","0"
"354539409","000","43","4069188239486","0"
"354539409","000","42","4069188239479","1"
"354539409","000","41","4069188239462","0"
"354539409","000","40","4069188239455","0"
"354539302","800","50","4069188239387","0"
"354539302","800","49","4069188239370","0"
"354539302","800","48","4069188239363","0"
"354539302","800","47","4069188239356","0"
"354539302","800","46","4069188239349","0"
"354539302","800","45","4069188239332","0"
"354539302","800","44","4069188239325","0"
"354539302","800","43","4069188239318","0"
"354539302","800","42","4069188239301","0"
"354539302","800","41","4069188239295","0"
"354539302","800","40","4069188239288","0"
"354539302","751","50","4069188239219","1"
"354539302","751","49","4069188239202","0"
"354539302","751","48","4069188239196","0"
"354539302","751","47","4069188239189","0"
"354539302","751","46","4069188239172","0"
"354539302","751","45","4069188239165","0"
"354539302","751","44","4069188239158","0"
"354539302","751","43","4069188239141","0"
"354539302","751","42","4069188239134","1"
"354539302","751","41","4069188239127","1"
"354539302","751","40","4069188239110","0"
"354539302","750","50","4069188239042","0"
"354539302","750","49","4069188239035","4"
"354539302","750","48","4069188239028","0"
"354539302","750","47","4069188239011","0"
"354539302","750","46","4069188239004","0"
"354539302","750","45","4069188238991","2"
"354539302","750","44","4069188238984","1"
"354539302","750","43","4069188238977","2"
"354539302","750","42","4069188238960","0"
"354539302","750","41","4069188238953","0"
"354539302","750","40","4069188238946","0"
"354539302","400","50","4069188238878","0"
"354539302","400","49","4069188238861","0"
"354539302","400","48","4069188238854","1"
"354539302","400","47","4069188238847","1"
"354539302","400","46","4069188238830","1"
"354539302","400","45","4069188238823","0"
"354539302","400","44","4069188238816","0"
"354539302","400","43","4069188238809","0"
"354539302","400","42","4069188238793","0"
"354539302","400","41","4069188238786","0"
"354539302","400","40","4069188238779","0"
"354539302","202","50","4069188238700","0"
