"ArtikelNr","Fb","Größe","GTIN/EAN","quantity"
"434118500","304","M","4064813699765","0"
"434118500","304","S","4064813699758","0"
"434118500","106","XXL","4064813699741","0"
"434118500","106","XL","4064813699734","0"
"434118500","106","L","4064813699727","0"
"434118500","106","M","4064813699710","0"
"434118500","106","S","4064813699703","0"
"434118500","000","XXL","4064813699697","0"
"434118500","000","XL","4064813699680","0"
"434118500","000","L","4064813699673","0"
"434118500","000","M","4064813699666","1"
"434118500","000","S","4064813699659","0"
"434106700","300","4XL","4064813699642","0"
"434106700","300","3XL","4064813699635","1"
"434106700","300","XXL","4064813699628","0"
"434106700","300","XL","4064813699611","1"
"434106600","305","4XL","4064813699598","2"
"434106600","305","3XL","4064813699581","0"
"434106600","305","XXL","4064813699574","0"
"434106600","305","XL","4064813699567","0"
"434106600","104","4XL","4064813699543","14"
"434106600","104","3XL","4064813699536","0"
"434106600","104","XXL","4064813699529","0"
"434106600","104","XL","4064813699512","0"
"434106600","000","5XL","4064813699505","0"
"434106600","000","4XL","4064813699499","0"
"434106600","000","3XL","4064813699482","0"
"434106600","000","XXL","4064813699475","0"
"434106600","000","XL","4064813699468","0"
"334106500","100","50","4064813699451","0"
"334106500","100","48","4064813699437","0"
"334106500","100","46","4064813699413","0"
"334106500","100","44","4064813699390","0"
"334106400","106","52","4064813699383","0"
"334106400","106","50","4064813699369","0"
"334106400","106","48","4064813699345","1"
"334106400","106","46","4064813699321","1"
"334106400","106","44","4064813699307","1"
"334106300","000","50","4064813699291","0"
"334106300","000","48","4064813699277","0"
"334106300","000","46","4064813699253","0"
"334106300","000","44","4064813699239","0"
"334106200","102","50","4064813699208","0"
"334106200","102","48","4064813699185","0"
"334106200","102","46","4064813699161","0"
"334106200","102","44","4064813699147","0"
"334106200","000","52","4064813699130","1"
"334106200","000","50","4064813699116","0"
"334106200","000","48","4064813699093","0"
"334106200","000","46","4064813699079","0"
"334106200","000","44","4064813699055","2"
"334106100","750","52","4064813699048","0"
"334106100","750","50","4064813699024","0"
"334106100","750","48","4064813699000","1"
"334106100","750","46","4064813698980","10"
"334106100","750","44","4064813698966","0"
"334106000","400","50","4064813698959","1"
"334106000","400","48","4064813698935","0"
"334106000","400","46","4064813698911","0"
"334106000","400","44","4064813698898","0"
"334105900","101","50","4064813698881","0"
"334105900","101","48","4064813698867","1"
"334105900","101","46","4064813698843","0"
"334105900","101","44","4064813698829","0"
"334105800","101","54","4064813698812","0"
"334105800","101","52","4064813698799","0"
"334105800","101","50","4064813698775","1"
"334105800","101","48","4064813698751","0"
"334105800","101","46","4064813698737","0"
"334105800","101","44","4064813698713","0"
"334105800","000","54","4064813698706","0"
"334105800","000","52","4064813698683","0"
"334105800","000","51","4064813698676","1"
"334105800","000","50","4064813698669","17"
"334105800","000","48","4064813698645","40"
"334105800","000","46","4064813698621","54"
"334105800","000","44","4064813698607","24"
"334105700","450","50","4064813698577","0"
"334105700","450","48","4064813698553","0"
"334105700","450","46","4064813698539","0"
"334105700","450","44","4064813698515","1"
"334105700","101","52","4064813698508","0"
"334105700","101","50","4064813698485","0"
"334105700","101","48","4064813698461","0"
"334105700","101","46","4064813698447","0"
"334105700","101","44","4064813698423","0"
"334105700","100","52","4064813698416","0"
"334105700","100","50","4064813698393","0"
"334105700","100","48","4064813698379","0"
"334105700","100","46","4064813698355","0"
